brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2016,159.0,149.4,73.9,7.7,5.3,554.0,70.1,2800.0,300.0,4.0,1.7777777777777777,3686400.0,1,1,4.0,32.0,4,7,4.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2013,120.6,113.2,61.6,11.6,3.5,165.0,52.3,1300.0,120.0,2.0,1.5,153600.0,1,1,0.5,4.0,2,3,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2013,162.0,157.0,78.0,6.9,5.5,401.0,68.1,2500.0,360.0,2.0,1.7777777777777777,2073600.0,1,1,2.0,16.0,1,3,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2015,393.0,254.0,167.0,6.1,10.1,299.0,69.7,6000.0,500.0,8.0,1.6,4096000.0,0,1,3.0,32.0,2,3,4.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2011,168.0,128.8,68.0,11.9,4.3,217.0,60.1,1500.0,230.0,2.0,1.6666666666666667,384000.0,1,1,0.5,8.0,1,4,2.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2014,152.0,146.0,72.0,7.3,5.2,424.0,70.9,3100.0,180.0,4.0,1.7777777777777777,2073600.0,0,1,3.0,16.0,5,5,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2015,180.0,154.4,75.8,7.8,5.5,801.0,71.3,3430.0,220.0,8.0,1.7777777777777777,8294400.0,0,1,3.0,32.0,3,6,4.1,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2012,135.0,137.9,68.9,9.0,4.7,312.0,64.1,2140.0,450.0,4.0,1.7777777777777777,921600.0,1,1,2.0,16.0,2,4,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2023,196.2,165.0,76.2,8.5,6.5,270.0,81.1,5050.0,99.35,8.0,2.2222222222222223,1152000.0,1,1,4.0,64.0,3,3,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2014,123.0,139.3,69.7,6.7,5.0,294.0,71.0,2300.0,290.0,4.0,1.7777777777777777,921600.0,1,1,2.0,16.0,6,3,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,2024,196.0,158.5,75.9,7.7,6.7,513.0,91.6,4900.0,1024.92,2.0,0.5555555555555556,4492800.0,0,0,12.0,256.0,7,7,5.3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,191.0,156.7,74.3,8.8,6.39,403.0,86.1,4000.0,174.57,8.0,0.5555555555555556,2527200.0,1,1,6.0,64.0,3,6,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2014,163.0,149.3,75.9,10.2,5.5,200.0,73.6,3000.0,240.0,4.0,1.7777777777777777,518400.0,1,1,1.0,8.0,3,3,4.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,180.0,158.7,76.0,9.1,6.2,271.0,79.5,4000.0,90.0,8.0,2.111111111111111,1094400.0,1,1,2.0,32.0,4,3,4.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2012,135.0,115.8,60.8,11.9,3.5,165.0,51.8,1500.0,70.0,2.0,1.5,153600.0,1,1,0.25,0.25,1,2,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2014,320.0,210.0,124.0,8.0,8.0,189.0,71.3,4450.0,350.0,4.0,1.6,1024000.0,0,1,1.5,16.0,2,1,4.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,176.0,159.8,76.1,8.1,6.39,269.0,82.4,4000.0,140.0,8.0,0.5555555555555556,1123200.0,1,1,4.0,64.0,2,4,5.0,0.0
